# amplicon position	effect
1	1.052631578947368496e+01
2	0.000000000000000000e+00
3	2.368421052631579116e+01
4	2.631578947368421240e+00
5	0.000000000000000000e+00
6	0.000000000000000000e+00
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	1.052631578947368496e+01
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	1.578947368421052566e+01
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	2.631578947368420884e+01
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	2.631578947368420884e+01
21	0.000000000000000000e+00
22	0.000000000000000000e+00
