# amplicon position	effect
1	4.000000000000000000e+00
2	0.000000000000000000e+00
3	1.200000000000000000e+01
4	1.200000000000000000e+01
5	1.200000000000000000e+01
6	1.600000000000000000e+01
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	1.200000000000000000e+01
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	4.000000000000000000e+00
22	1.600000000000000000e+01
