# amplicon position	effect
1	0.000000000000000000e+00
2	5.000000000000000000e+00
3	5.000000000000000000e+00
4	1.666666666666666741e+00
5	0.000000000000000000e+00
6	1.666666666666666741e+00
7	1.500000000000000000e+01
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	1.666666666666666741e+00
11	0.000000000000000000e+00
12	3.333333333333333481e+00
13	1.333333333333333393e+01
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	1.333333333333333393e+01
21	3.333333333333333481e+00
22	8.333333333333333925e+00
