# amplicon position	effect
1	0.000000000000000000e+00
2	2.564102564102564319e+00
3	1.025641025641025728e+01
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	2.564102564102564319e+00
7	2.564102564102564319e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	0.000000000000000000e+00
14	2.564102564102564319e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	2.564102564102564319e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	0.000000000000000000e+00
21	0.000000000000000000e+00
