# amplicon position	effect
1	0.000000000000000000e+00
2	6.250000000000000000e+00
3	1.250000000000000000e+00
4	0.000000000000000000e+00
5	0.000000000000000000e+00
6	1.250000000000000000e+01
7	1.750000000000000000e+01
8	2.500000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	0.000000000000000000e+00
13	2.500000000000000000e+00
14	0.000000000000000000e+00
15	0.000000000000000000e+00
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	0.000000000000000000e+00
20	1.000000000000000000e+01
21	8.750000000000000000e+00
22	7.500000000000000000e+00
