# amplicon position	effect
1	3.125000000000000000e+00
2	0.000000000000000000e+00
3	3.125000000000000000e+01
4	2.187500000000000000e+01
5	2.187500000000000000e+01
6	1.875000000000000000e+01
7	0.000000000000000000e+00
8	0.000000000000000000e+00
9	0.000000000000000000e+00
10	0.000000000000000000e+00
11	0.000000000000000000e+00
12	3.125000000000000000e+00
13	0.000000000000000000e+00
14	0.000000000000000000e+00
15	2.500000000000000000e+01
16	0.000000000000000000e+00
17	0.000000000000000000e+00
18	0.000000000000000000e+00
19	1.562500000000000000e+01
20	9.375000000000000000e+00
21	9.375000000000000000e+00
22	9.375000000000000000e+00
